Platform,Platform Location Name,Matched Store ID,Matched Shop Name,Match Method,Confidence,Notes
"ubereats","Capriotti's Sandwich Shop (11350 S. Highlands Pkwy)","","","unmatched","0.00","No confident match found"
"ubereats","Capriotti's (3655 Catclaw Dr)","","","unmatched","0.00","No confident match found"
"grubhub","Capriotti's Sandwich Shop ","","","unmatched","0.00","No confident match found"
"ubereats","Capriotti's Sandwich Shop (NV142)","NV142","NV142 LV Blue Diamond Decatur","store_id_exact","1.00","Extracted Store ID from name"
"doordash","Olympia Ave-Tulsa","OK100234","OK100234 Tulsa Olympia","address_city","1.00","city, street:olympia,ave, name"
"grubhub","Capriotti's Sandwich Shop","IL110507","IL110507 CK Chicago River West","address_city","0.74","city, name"
"grubhub","Capriotti's Sandwich Shop Catering","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"grubhub","Capriottis Sandwich Shop","IL110507","IL110507 CK Chicago River West","address_city","0.74","city, name"
"grubhub","Capriotti’s Sandwich Shop","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Sierra St - Reno","NV079","NV079 Reno Sierra St","address_city","1.00","city, street:sierra, name"
"doordash","Nature Park Drive","NV126","NV126 NLV Aliante Pkwy and Nature Park","doordash_address","0.95","DD: 2620 Nature Park Dr, North Las Vegas → NV126"
"doordash","Los Altos","NV900467","NV900467 Sparks Los Altos","doordash_address","0.95","DD: 142 Los Altos Pkwy, Sparks → NV900467"
"ubereats","Capriotti's (TX444)","AZ104","AZ104 Scottsdale Scottsdale","ubereats_crossref","0.95","Matched via UberEats location list"
"doordash","Regional Justice Ctr.","","","unmatched","0.00","No confident match found"
"ubereats","Capriotti's Sandwich Shop (36101 Bob Hope Drive #G2)","","","unmatched","0.00","No confident match found"
"doordash","E Silverado Ranch","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","E Robindale Road","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","E William Street","NV191","NV191 Carson City William","address_city","0.65","street:william,street, name"
"doordash","Broadway - Tucson","AZ900482","AZ900482 Tucson Broadway","address_city","0.52","street:broadway, name"
"doordash","Horizon Ridge","","","doordash_no_master","0.00","DD location exists (2654 W Horizon Ridge Pkwy, Henderson) but not in master list - needs manual review"
"doordash","Meadows - Reno","NV067","NV067 Reno Meadows","address_city","0.77","city, name"
"doordash","S Stanford Way","NV054","NV054 Sparks Stanford","address_city","0.65","street:stanford,way, name"
"doordash","Maryland Pkwy","","","doordash_no_master","0.00","DD location exists (2602 S Maryland Pkwy, Las Vegas) but not in master list - needs manual review"
"doordash","North Boulder Hwy","NV103","NV103 Henderson Boulder Hwy","address_city","0.77","street:north,boulder, name"
"doordash","Plumb Lane","NV152","NV152 Reno Plumb Virginia","address_city","0.65","street:plumb,lane, name"
"doordash","East Craig Road","NV031","NV031 N Las Vegas Craig","address_city","0.61","street:craig,road, name"
"ubereats","Capriotti's Sandwich Shop (CA425)","","","unmatched","0.00","No confident match found"
"grubhub","Capriotti's Sandwich Shop","IL110507","IL110507 CK Chicago River West","address_city","0.74","city, name"
"ubereats","Capriotti's Sandwich Shop (CA100377)","CA100377","CA100377 Rancho Cordova Sunrise","store_id_exact","1.00","Extracted Store ID from name"
