Store ID,Store Name,Business ID,Merchant Store ID,Transactions Start Local Date,Transactions End Local Date,Currency,Subtotal,Subtotal Tax Passed by DoorDash to Merchant,Commission,Commission Tax,Drive Charge,Marketing Fees (for historical reference only) | (All discounts and fees),Marketing Fee Tax (for historical reference only) | (Taxes on any applicable marketing fees),Total Tips,Error Charges,Adjustments | (for historical reference only),Total Before Adjustments,Credit,Debit,Estimated Payout,Tax Remitted by DoorDash to State,Subtotal for tax,DoorDash Funded Subtotal Discount Amount | (for historical reference only),Merchant Funded Subtotal Discount Amount | (for historical reference only),Merchant funded loyalty discount amount,External Gift Card Credit Amount,Consumer Delivery Fee,Consumer Service Fee,Consumer Small Order Fee,Consumer Legislative Fee,Consumer Tip,Snap Ebt Discount,Tax Remitted by DoorDash on Fees DoorDash Charges to Merchant,Other Merchant Fee,Bottle Deposit Fee,Bottle Deposit Fee Tax,Discounts,Printer Fee,Tablet Fee,Payment Processing Fee,Delivery Order Fee,Pickup Order Fee,Staff Tip,Customer Discounts from Marketing | (Funded by You),Customer Discounts from Marketing | (Funded by DoorDash),Customer Discounts from Marketing | (Funded by a Third-party),Marketing Fees | (Including any applicable taxes),DoorDash Marketing Credit,Third-party Contribution,Adjustments
1640642,East Ridge Pike,2324,PA220,2025-09-15,2025-09-21,USD,4787.57,0.00,400.34,0.00,0.00,206.84,0.00,121.81,13.48,-100.96,4041.26,3954.15,13.85,3940.30,287.31,4787.57,16.98,171.20,100.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-23.98,0.00,0.00,103.30,0.00,0.00,121.81,-171.20,-16.98,0.00,-155.82,16.98,0.00,-100.96
1713806,South State Rd,2324,PA080,2025-09-15,2025-09-21,USD,6111.05,0.00,689.51,0.00,0.00,241.75,0.00,97.37,88.48,-138.58,4905.86,4856.74,89.46,4767.28,366.99,6111.05,11.00,191.26,138.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-50.15,0.00,0.00,100.35,0.00,0.00,97.37,-191.26,-11.00,0.00,-182.81,11.00,0.00,-138.58
1742411,S Marion Road,2324,SD162,2025-09-15,2025-09-21,USD,6679.39,0.00,405.18,0.00,0.00,170.04,0.00,116.34,0.00,-35.88,5863.47,5827.59,0.00,5827.59,463.45,6445.50,5.51,140.34,35.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-52.16,0.00,0.00,181.68,0.00,0.00,116.34,-140.34,-5.51,0.00,-152.90,5.51,0.00,-35.88
1742446,West Avera Dr,2324,SD187,2025-09-15,2025-09-21,USD,3507.24,0.00,362.27,0.00,0.00,114.25,0.00,70.74,4.81,-22.97,2920.46,2902.30,4.81,2897.49,239.47,3329.80,47.15,94.45,22.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.98,0.00,0.00,66.83,0.00,0.00,70.74,-94.45,-38.04,-9.11,-107.18,38.04,9.11,-22.97
1743753,East Sepulveda,2324,CA084,2025-09-15,2025-09-21,USD,6162.90,601.11,591.36,0.00,0.00,452.31,0.00,82.45,4.25,-37.77,5564.59,5531.66,4.84,5526.82,0.00,5725.05,5.00,374.10,37.77,0.00,64.77,345.33,0.00,0.00,459.67,0.00,0.00,0.00,0.00,0.00,-25.98,0.00,0.00,107.63,0.00,0.00,82.45,-374.10,-5.00,0.00,-178.55,5.00,0.00,-37.77
1750142,Southern Highlands,2324,NV059,2025-09-15,2025-09-21,USD,1688.82,0.00,189.66,0.00,0.00,74.66,0.00,44.07,10.80,-5.98,1371.81,1376.63,10.80,1365.83,133.82,1597.77,2.30,61.79,5.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20.98,0.00,0.00,29.03,0.00,0.00,44.07,-61.79,-2.30,0.00,-48.82,2.30,0.00,-5.98
1791292,Hightlands Ranch,2324,CO229,2025-09-15,2025-09-21,USD,4614.19,0.00,376.22,0.00,0.00,108.82,0.00,150.61,3.79,-27.45,4088.52,4064.86,3.79,4061.07,223.64,4471.71,7.99,86.05,27.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-23.98,0.00,0.00,106.13,0.00,0.00,150.61,-86.05,-7.99,0.00,-80.11,7.99,0.00,-27.45
1856591,Kenosha & 177th,2324,OK213,2025-09-15,2025-09-21,USD,6104.17,0.00,752.97,0.00,0.00,632.96,0.00,73.62,0.00,-55.90,4420.52,4382.13,17.51,4364.62,456.25,5420.12,19.44,553.76,55.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-54.95,0.00,0.00,70.87,0.00,0.00,73.62,-553.76,-19.44,0.00,-324.72,19.44,0.00,-55.90
2232632,Heart Pine-Odessa,2324,FL193,2025-09-15,2025-09-21,USD,2262.04,0.00,244.24,0.00,0.00,172.38,0.00,54.24,0.00,-4.99,1789.15,1784.16,0.00,1784.16,155.75,2076.79,3.63,144.66,4.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-31.97,0.00,0.00,37.89,0.00,0.00,54.24,-144.66,-3.63,0.00,-68.37,3.63,0.00,-4.99
2375637,Cheyenne Rd,2324,CO231,2025-09-15,2025-09-21,USD,4229.51,0.00,350.01,0.00,0.00,104.84,0.00,142.83,12.80,-44.29,3690.79,3659.70,13.20,3646.50,436.88,4032.95,7.99,87.02,44.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-60.25,0.00,0.00,97.18,0.00,0.00,142.83,-87.02,-7.99,0.00,-74.29,7.99,0.00,-44.29
2375657,Brayden Pkwy,2324,SC237,2025-09-15,2025-09-21,USD,4672.19,0.00,448.32,0.00,0.00,142.19,0.00,98.20,7.88,-39.96,3948.07,3915.99,7.88,3908.11,400.13,4451.80,7.99,113.48,39.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-61.95,0.00,0.00,97.43,0.00,0.00,98.20,-113.48,-7.99,0.00,-93.26,7.99,0.00,-39.96
2375675,Limonite Ave,2324,CA215,2025-09-15,2025-09-21,USD,4223.42,302.46,430.34,0.00,0.00,221.64,0.00,28.86,7.67,-92.70,3712.81,3628.08,7.97,3620.11,0.00,3903.17,0.00,177.09,92.70,0.00,105.17,258.21,0.00,0.00,286.12,0.00,0.00,0.00,0.00,0.00,-50.46,0.00,0.00,73.58,0.00,0.00,28.86,-177.09,0.00,0.00,-102.79,0.00,0.00,-92.70
2608887,Mountain View,2324,UT156,2025-09-15,2025-09-21,USD,3049.21,235.75,408.80,0.00,0.00,149.20,0.00,17.96,6.36,-47.98,2604.03,2562.41,6.36,2556.05,0.00,2857.75,30.00,119.50,47.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-23.98,0.00,0.00,29.28,0.00,0.00,17.96,-119.50,-30.00,0.00,-110.97,30.00,0.00,-47.98
2608908,State and 6100 S,2324,UT154,2025-09-15,2025-09-21,USD,4122.99,333.57,474.55,0.00,0.00,163.58,0.00,67.54,6.48,-0.06,3722.38,3728.80,6.48,3722.32,0.00,3947.68,11.99,135.86,15.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-23.48,0.00,0.00,65.86,0.00,0.00,67.54,-135.86,-11.99,0.00,-95.49,11.99,0.00,-0.06
