Business ID,Business name,Store ID,Store name,Timestamp local time,DoorDash transaction ID,DoorDash order ID,POS order ID,Transaction type,Channel,Description,Subtotal,Tax (subtotal),Customer fees,Tax (customer fees),Commission,Merchant fees,Tax (merchant fees),Marketing fees,Customer discounts,DoorDash marketing credit,Third-party contribution,Error charges,Adjustments,Net total,Payout date,Payout ID
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-04 18:06:30.42757,16028835406,CCE9D709,05fb96bb-4ed3-415e-b0c6-8ae69d273bf1,Order,Marketplace,NULL,18.00,0.83,0.00,0.00,-0.54,0.00,0.00,-0.99,-9.00,0.00,0.00,0.00,0.00,8.30,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-04 18:03:56.159886,16028801729,579FC356,224f19d9-1ddf-493a-9332-3d37db5fe391,Order,Marketplace,NULL,157.00,12.03,0.00,0.00,-19.50,0.00,0.00,-0.99,-27.00,0.00,0.00,0.00,0.00,121.54,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-03 20:31:51.427482,16020176579,F380371C,e83a439b-e385-4e21-99bd-05b3bce2d509,Order,Marketplace,NULL,187.00,16.37,0.00,0.00,-10.62,0.00,0.00,-0.99,-10.00,0.00,0.00,0.00,0.00,181.76,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-03 20:30:01.570705,16020160473,D77DC262,02b99bd8-6420-420f-a462-6c4a9559d1d0,Order,Storefront,NULL,61.50,5.69,0.00,0.00,0.00,-2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.94,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-03 19:45:40.562879,16019828674,B31F93A0,0c82bb3d-12e6-47d7-976f-0b7fd9a99e67,Order,Marketplace,NULL,148.00,12.77,0.00,0.00,-16.56,0.00,0.00,-0.99,-10.00,0.00,0.00,0.00,0.00,133.22,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-03 19:35:25.591782,16019740416,637D0E11,5922c4e3-d2cf-476c-af1f-9c4576fb2cd4,Order,Marketplace,NULL,91.00,7.49,0.00,0.00,-12.15,0.00,0.00,-0.99,-10.00,0.00,0.00,0.00,0.00,75.35,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-03 14:16:24.57546,16015832191,E70883A5,2f750f06-38b7-4e07-87cb-6eaa31067581,Order,Marketplace,NULL,56.00,2.41,0.00,0.00,-1.56,0.00,0.00,0.00,-30.00,0.00,0.00,0.00,0.00,26.85,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-02 18:42:35.557123,16009552301,CDF67E8A,14caffb9-c960-4629-9d75-2f58ba7a7643,Order,Marketplace,NULL,49.00,3.70,0.00,0.00,-6.00,0.00,0.00,-10.59,-9.00,0.00,0.00,0.00,0.00,27.11,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-02 17:48:03.962174,16008917924,5CD792C1,4b0e1595-fe3e-4462-a332-94a10ba0d5d8,Order,Marketplace,NULL,80.00,4.63,0.00,0.00,-7.50,0.00,0.00,-11.51,-30.00,0.00,0.00,0.00,0.00,35.62,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-02 12:55:01.567833,16005567752,6F0DC9A7,50015639-7e41-4174-9ed8-710f0982644d,Order,Storefront,NULL,44.00,3.26,0.00,0.00,0.00,-1.42,0.00,0.00,-8.80,0.00,0.00,0.00,0.00,37.04,NULL,NULL
